"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\abels\OneDrive\Escritorio\sidebar-react\src\App.css", "CSS", 0, 28, 1, 4, 33
"c:\Users\abels\OneDrive\Escritorio\sidebar-react\src\App.jsx", "JavaScript JSX", 24, 0, 7, 4, 35
"c:\Users\abels\OneDrive\Escritorio\sidebar-react\src\Button.jsx", "JavaScript JSX", 67, 0, 0, 13, 80
"c:\Users\abels\OneDrive\Escritorio\sidebar-react\src\ButtonDropDown.jsx", "JavaScript JSX", 96, 0, 0, 11, 107
"c:\Users\abels\OneDrive\Escritorio\sidebar-react\src\DropDownOptions.jsx", "JavaScript JSX", 10, 0, 0, 3, 13
"c:\Users\abels\OneDrive\Escritorio\sidebar-react\src\SideBar.jsx", "JavaScript JSX", 110, 0, 1, 3, 114
"c:\Users\abels\OneDrive\Escritorio\sidebar-react\src\icons\CloseIcon.jsx", "JavaScript JSX", 23, 0, 0, 2, 25
"c:\Users\abels\OneDrive\Escritorio\sidebar-react\src\icons\HomeIcon.jsx", "JavaScript JSX", 21, 0, 0, 3, 24
"c:\Users\abels\OneDrive\Escritorio\sidebar-react\src\index.css", "CSS", 0, 3, 0, 0, 3
"c:\Users\abels\OneDrive\Escritorio\sidebar-react\src\main.jsx", "JavaScript JSX", 9, 0, 0, 2, 11
"Total", "-", 360, 31, 9, 45, 445
